,K&A,AoW,Rape
0,6.639875833826536,8.173011311724972,6.769641976852503
1,4.007333185232471,4.356708826689592,3.4965075614664802
2,6.975413927455952,6.745236349484363,6.705639094860003
3,6.249975242259483,6.331501849893691,6.78897174299217
4,5.14166355650266,7.47477218239787,6.8658910748834385
5,1.791759469228055,2.833213344056216,2.4849066497880004
6,6.75343791859778,6.628041376179533,5.655991810819852
7,5.6937321388027,6.169610732491456,5.986452005284438
8,4.653960350157523,5.736572297479192,4.820281565605037
9,6.222576268071369,6.432940092739179,5.1298987149230735
10,5.631211781821365,5.6937321388027,6.340359303727752
11,5.602118820879701,7.417580402414544,5.680172609017068
12,4.574710978503383,7.571473648851271,6.331501849893691
13,6.504288173536645,8.862625169408922,7.955425088912672
14,6.415096959171596,7.945555428253489,7.171656822768514
15,4.127134385045092,3.044522437723423,2.995732273553991
16,2.3978952727983707,3.2188758248682006,3.258096538021482
17,0.0,3.9512437185814275,3.9512437185814275
18,1.791759469228055,1.791759469228055,2.833213344056216
19,6.073044534100405,7.411556287811163,6.672032945461067
20,5.780743515792329,5.918893854273146,5.697093486505405
21,7.68017564043659,7.964850887447313,6.955592608396297
23,6.408528791059498,7.480428306074208,6.0473721790462776
24,3.5553480614894135,4.060443010546419,4.624972813284271
25,7.965198290612176,7.962067308753666,7.579678823090456
26,4.836281906951478,4.634728988229636,4.30406509320417
27,6.543911845564792,6.860663671448287,6.5638555265321274
28,0.6931471805599453,2.9444389791664403,1.0986122886681098
29,3.912023005428146,3.1780538303479458,2.8903717578961645
30,0.6931471805599453,1.9459101490553132,1.791759469228055
33,1.0986122886681098,3.5553480614894135,2.1972245773362196
34,6.74993119378857,8.242493153187626,6.90975328164481
35,3.6375861597263857,4.219507705176107,3.6375861597263857
36,7.151485463904735,6.891625897052253,6.877296071497429
37,6.612041034833092,6.431331081933479,6.946975992135418
38,5.0369526024136295,7.301822342137932,6.899723107284872
39,1.6094379124341003,2.8903717578961645,2.4849066497880004
40,6.693323668269949,6.620073206530356,5.58724865840025
41,5.66988092298052,6.118097198041348,5.8888779583328805
42,4.7535901911063645,5.786897381366708,4.919980925828125
43,6.39024066706535,6.665683717782408,5.2574953720277815
44,5.181783550292085,6.018593214496234,6.680854678790215
45,5.703782474656201,7.4073177104694174,5.676753802268282
46,4.51085950651685,7.660585461703256,6.212606095751519
47,6.459904454377535,8.870382066070137,7.969357742016346
48,6.476972362889683,7.895808377083183,7.20934025660291
49,4.406719247264253,4.060443010546419,2.6390573296152584
50,2.302585092994046,3.1354942159291497,3.6375861597263857
51,0.6931471805599453,4.290459441148391,4.330733340286331
52,1.3862943611198906,0.0,2.833213344056216
53,6.068425588244111,7.380879035564116,6.53813982376767
54,5.869296913133774,5.831882477283517,5.700443573390687
55,7.610357618312838,7.912056888179006,6.957497370876951
56,0.6931471805599453,2.833213344056216,1.791759469228055
57,6.570882962339584,7.537430036586509,6.280395838960195
58,3.871201010907891,4.852030263919617,4.68213122712422
59,7.739794458408701,7.6708948313621175,7.254884810077338
60,5.043425116919247,4.976733742420574,4.48863636973214
61,6.542471960506805,6.871091294610546,6.63200177739563
62,0.0,2.833213344056216,0.6931471805599453
63,3.8501476017100584,3.58351893845611,2.8903717578961645
64,1.6094379124341003,1.0986122886681098,1.3862943611198906
67,1.791759469228055,4.07753744390572,1.791759469228055
68,6.836259277277067,8.325548307161398,6.852242569051878
69,3.9318256327243257,3.7612001156935624,3.4339872044851463
70,7.208600337960199,6.777646593635117,6.9985096422506015
71,6.513230110912307,6.5337888379333435,6.892641641172089
72,5.003946305945459,7.300472814267799,6.8001700683022
73,2.5649493574615367,2.9444389791664403,3.4339872044851463
74,6.755768921984255,6.582025138892826,5.4638318050256105
75,5.602118820879701,5.840641657373398,5.8664680569332965
76,4.564348191467836,5.521460917862246,4.836281906951478
77,6.421622267806518,6.774223886357614,5.351858133476067
78,5.568344503761097,6.049733455231958,6.568077911411976
79,5.497168225293202,7.368339686311381,5.771441123130016
80,4.624972813284271,7.5740450053721995,5.976350909297934
81,6.410174881966167,8.831711917821577,7.914983005848394
82,6.439350371100098,7.886457270977689,7.145196134997171
83,4.2626798770413155,3.784189633918261,2.8903717578961645
84,2.302585092994046,2.5649493574615367,3.6888794541139363
85,0.6931471805599453,4.477336814478207,3.9889840465642745
86,1.0986122886681098,1.3862943611198906,2.6390573296152584
87,5.921578419643816,7.419979923661835,6.586171654854675
88,5.68697535633982,5.846438775057725,5.940171252720432
89,7.4673710669175595,7.906547232368036,6.956545443151569
91,6.448889394146858,7.611842399580417,6.322565239927284
92,3.367295829986474,4.844187086458591,4.736198448394496
93,7.312553498102598,7.001245622069476,6.814542897259958
94,4.897839799950911,4.912654885736052,4.672828834461906
95,6.68586094706836,7.078341579557671,6.90975328164481
96,0.6931471805599453,2.1972245773362196,0.6931471805599453
97,3.332204510175204,2.3978952727983707,2.8903717578961645
98,1.3862943611198906,1.3862943611198906,0.0
99,0.0,1.0986122886681098,1.6094379124341003
101,2.5649493574615367,4.02535169073515,0.6931471805599453
102,6.937314081223682,8.247220052745229,6.923628628138427
103,3.713572066704308,4.110873864173311,3.7376696182833684
104,7.347299700743164,6.78332520060396,7.065613363597717
105,6.904750769961838,6.556778356158042,7.237059026124737
106,5.159055299214529,7.415175109613295,6.876264611890766
107,2.302585092994046,3.1354942159291497,3.6109179126442243
108,6.807934943699926,6.6293632534374485,5.82600010738045
109,5.676753802268282,5.998936561946683,5.955837369464831
110,4.59511985013459,5.648974238161206,5.030437921392435
111,6.448889394146858,6.897704943128636,5.384495062789089
112,5.181783550292085,6.018593214496234,6.680854678790215
113,5.655991810819852,7.268920128193722,5.673323267171493
114,4.955827057601261,7.723120092266331,6.173786103901937
115,6.369900982828227,8.808369153122275,7.963807953231451
116,6.668228248417403,7.9483852851118995,7.23561914106675
117,4.2626798770413155,3.4011973816621555,3.4339872044851463
118,2.8903717578961645,3.5263605246161616,3.9889840465642745
120,1.3862943611198906,1.0986122886681098,2.8903717578961645
121,6.0473721790462776,7.501634457883413,6.646390514847729
122,5.739792912179234,5.564520407322694,5.966146739123692
123,7.53955882930103,7.946263643580541,6.945051063725834
124,1.3862943611198906,3.6888794541139363,1.0986122886681098
125,6.539585955617669,7.528869256642251,6.42648845745769
126,3.9889840465642745,4.897839799950911,5.075173815233827
127,7.751045117971802,7.549609165154532,7.242082359256962
128,4.844187086458591,4.962844630259907,4.74493212836325
129,6.925595197110468,7.356279876550748,7.29641326877392
130,1.0986122886681098,1.791759469228055,2.302585092994046
131,3.7612001156935624,2.995732273553991,2.9444389791664403
132,1.9459101490553132,1.6094379124341003,1.9459101490553132
135,2.0794415416798357,3.912023005428146,1.3862943611198906
136,6.902742737158593,8.187299270155147,6.840546529288687
137,3.6635616461296463,4.204692619390966,3.5553480614894135
